game;score;entries;correctScore
Portal 2 (2011);5.0000;4;4.6000
Star Wars: Knights of the Old Republic 2 (2004);5.0000;4;4.6000
Rimworld (2018);5.0000;3;4.2000
Hotline Miami (2012);5.0000;3;4.2000
Fallout 2 (1998);5.0000;3;4.2000
Ori and the Blind Forest (2015);5.0000;2;3.8000
Arma 3 (2013);5.0000;2;3.8000
XCOM 2 (2016);5.0000;2;3.8000
Hollow Knight (2017);5.0000;2;3.8000
Disco Elysium (2019);5.0000;2;3.8000
Command & Conquer Tiberian Sun (1999);5.0000;1;3.4000
Gothic 2 (2002);4.8333;6;4.8333
Mass Effect (2007);4.8333;6;4.8333
Deus Ex: Human Revolution DC (2013);4.8000;5;4.8000
GTA Vice City (2002);4.8000;5;4.8000
Max Payne (2001);4.7500;4;4.4000
Witcher 3 (2015);4.7500;4;4.4000
Fallout: New Vegas (2010);4.7500;4;4.4000
Assassin's Creed 2 (2009);4.7500;4;4.4000
Mass Effect 2 (2010);4.6667;6;4.6667
Sim City 4 (2003);4.6667;3;4.00002
Sleeping Dogs (2012);4.6667;3;4.00002
Divinity: Original Sin (2014);4.6667;3;4.00002
S.T.A.L.K.E.R. (2007);4.6667;3;4.00002
Doom (2016);4.6667;3;4.00002
NFS: Underground 2 (2004);4.6000;5;4.6000
Mafia (2002);4.6000;5;4.6000
Dragon Age: Origins (2009);4.5000;6;4.5000
Assassin's Creed 4: Black Flag (2013);4.5000;4;4.2000
Prey (2017);4.5000;4;4.2000
Civilization 5 (2010);4.5000;4;4.2000
Divinity: Original Sin 2 (2017);4.5000;2;3.6000
Dishonored (2012);4.5000;2;3.6000
Command & Conquer Generals (2003);4.5000;2;3.6000
Tony Hawk's Pro Skater 2 (2000);4.5000;2;3.6000
Ori and the Will of the Wisps (2020);4.5000;2;3.6000
Metal Gear Solid V (2015);4.5000;2;3.6000
Valheim (EA, 2021);4.4000;5;4.4000
Postal 2 (2004);4.4000;5;4.4000
Mass Effect 3 (2012);4.3333;6;4.3333
GTA 3 (2001);4.3333;6;4.3333
Deus Ex (2000);4.3333;3;3.79998
Arma 2 (2009);4.3333;3;3.79998
Payday 2 (2013);4.3333;3;3.79998
Mount & Blade: Warband (2010);4.3333;3;3.79998
Risen (2009);4.3333;3;3.79998
Batman: Arkham Asylum (2009);4.2500;4;4.0000
Star Wars Jedi Knight 2: Jedi Outcast (2002);4.2500;4;4.0000
Max Payne 2 (2003);4.2500;4;4.0000
Portal (2007);4.2500;4;4.0000
NFS: Underground (2003);4.2500;4;4.0000
Star Wars Jedi: Fallen Order (2019);4.2500;4;4.0000
Star Wars: Knights of the Old Republic (2003);4.2500;4;4.0000
Hellblade: Senua's Sacrifice (2017);4.2000;5;4.2000
GTA 4 (2008);4.2000;5;4.2000
Phasmophobia (EA, 2020);4.2000;5;4.2000
Gothic (2001);4.1667;6;4.1667
Skyrim (2011);4.0000;5;4.0000
Mafia 2 (2010);4.0000;5;4.0000
The Sims (2000);4.0000;5;4.0000
Half-Life (1998);4.0000;4;3.8000
Half-Life 2 (2004);4.0000;4;3.8000
Oblivion (2006);4.0000;4;3.8000
Call of Duty 4: Modern Warfare (2007);4.0000;4;3.8000
Warcraft 3 (2002);4.0000;4;3.8000
Call of Duty (2003);4.0000;4;3.8000
Deus Ex: Mankind Divided (2016);4.0000;4;3.8000
Mirror's Edge (2009);4.0000;4;3.8000
Satisfactory (EA, 2019);4.0000;3;3.6000
PUBG (2017);4.0000;3;3.6000
Ultimate Mortal Kombat 3 (1995);4.0000;2;3.4000
Ghostrunner (2020);4.0000;1;3.2000
Dishonored 2 (2016);4.0000;1;3.2000
Rocket League (2015);3.8000;5;3.8000
Assassin's Creed: Brotherhood (2010);3.8000;5;3.8000
Dark Souls (2011);3.8000;5;3.8000
Heroes of Might & Magic III (1999);3.8000;5;3.8000
Morrowind (2002);3.8000;5;3.8000
Cyberpunk 2077 (2020);3.8000;5;3.8000
Minecraft (2011);3.8000;5;3.8000
Vampyr (2018);3.7500;4;3.6000
Life is Strange (2015);3.7500;4;3.6000
DayZ (2018);3.7500;4;3.6000
Cities Skylines (2015);3.6667;3;3.40002
Assassin's Creed (2007);3.6000;5;3.6000
Pillars of Eternity (2015);3.5000;4;3.4000
Tomb Raider (2013);3.5000;4;3.4000
Witcher 2 (2011);3.2500;4;3.2000
Dragon Age: Inquisition (2014);3.2000;5;3.2000
Fallout 3 (2008);3.0000;4;3.0000
Watch Dogs (2014);3.0000;3;3.0000
Plague Tale: Innocence (2019);3.0000;2;3.0000
Dragon Age 2 (2011);2.8000;5;2.8000
