game;score;entries;correctScore
Mass Effect (2007);4.8333;6;4.8333
Gothic 2 (2002);4.8333;6;4.8333
GTA Vice City (2002);4.8;5;4.8
Witcher 3 (2015);4.8;5;4.8
Deus Ex: Human Revolution DC (2013);4.8;5;4.8
Mass Effect 2 (2010);4.6667;6;4.6667
Star Wars: Knights of the Old Republic 2 (2004);5.0;4;4.6
Portal 2 (2011);5.0;4;4.6
Dragon Age: Origins (2009);4.5;6;4.5
Max Payne (2001);4.75;4;4.4
Assassin's Creed 4: Black Flag (2013);4.4;5;4.4
Assassin's Creed 2 (2009);4.75;4;4.4
Fallout: New Vegas (2010);4.75;4;4.4
Postal 2 (2004);4.4;5;4.4
Mass Effect 3 (2012);4.3333;6;4.3333
Mafia (2002);4.3333;6;4.3333
GTA 3 (2001);4.3333;6;4.3333
Ori and the Blind Forest (2015);5.0;3;4.2
GTA 4 (2008);4.2;5;4.2
Hellblade: Senua's Sacrifice (2017);4.2;5;4.2
Civilization 5 (2010);4.5;4;4.2
Fallout 2 (1998);5.0;3;4.2
Prey (2017);4.5;4;4.2
Far Cry 3 (2012);5.0;3;4.2
Hotline Miami (2012);5.0;3;4.2
Rimworld (2018);5.0;3;4.2
Sleeping Dogs (2012);4.5;4;4.2
Valheim (EA, 2021);4.1667;6;4.1667
Gothic (2001);4.1667;6;4.1667
Sim City 4 (2003);4.6667;3;4.00002
Divinity: Original Sin (2014);4.6667;3;4.00002
S.T.A.L.K.E.R. (2007);4.6667;3;4.00002
Doom (2016);4.6667;3;4.00002
Ori and the Will of the Wisps (2020);4.6667;3;4.00002
Phasmophobia (EA, 2020);4.0;6;4.0
NFS: Underground 2 (2004);4.0;6;4.0
Skyrim (2011);4.0;5;4.0
Mafia 2 (2010);4.0;5;4.0
Batman: Arkham Asylum (2009);4.25;4;4.0
Star Wars: Knights of the Old Republic (2003);4.25;4;4.0
Star Wars Jedi Knight 2: Jedi Outcast (2002);4.25;4;4.0
Star Wars Jedi: Fallen Order (2019);4.0;5;4.0
Portal (2007);4.25;4;4.0
The Sims (2000);4.0;5;4.0
Max Payne 2 (2003);4.25;4;4.0
Assassin's Creed: Brotherhood (2010);3.8;5;3.8
Rocket League (2015);3.8;5;3.8
Wolfenstein: New Order (2014);5.0;2;3.8
Psychonauts (2006);5.0;2;3.8
Hollow Knight (2017);5.0;2;3.8
Beyond Good & Evil (2003);5.0;2;3.8
XCOM 2 (2016);5.0;2;3.8
Crysis (2007);5.0;2;3.8
Dungeon Siege (2002);5.0;2;3.8
Hitman (2016);5.0;2;3.8
Disco Elysium (2019);5.0;2;3.8
Half-Life (1998);4.0;4;3.8
Half-Life 2 (2004);4.0;4;3.8
Oblivion (2006);4.0;4;3.8
Call of Duty 4: Modern Warfare (2007);4.0;4;3.8
Warcraft 3 (2002);4.0;4;3.8
Call of Duty (2003);4.0;4;3.8
Deus Ex: Mankind Divided (2016);4.0;4;3.8
Mirror's Edge (2009);4.0;4;3.8
Dark Souls 3 (2016);5.0;2;3.8
Vampyr (2018);3.8;5;3.8
Heroes of Might & Magic III (1999);3.8;5;3.8
Morrowind (2002);3.8;5;3.8
Dark Souls (2011);3.8;5;3.8
Minecraft (2011);3.8;5;3.8
Control (2019);4.3333;3;3.79998
Risen (2009);4.3333;3;3.79998
Mount & Blade: Warband (2010);4.3333;3;3.79998
Oxygen Not Included (2019);4.3333;3;3.79998
Arma 2 (2009);4.3333;3;3.79998
Deus Ex (2000);4.3333;3;3.79998
Arma 3 (2013);4.3333;3;3.79998
Cyberpunk 2077 (2020);3.6667;6;3.6667
Assassin's Creed (2007);3.6;5;3.6
NFS: Underground (2003);3.6;5;3.6
Tomb Raider (2013);3.6;5;3.6
Pillars of Eternity 2 (2018);4.5;2;3.6
DayZ (2018);3.75;4;3.6
Payday 2 (2013);3.75;4;3.6
Life is Strange (2015);3.75;4;3.6
Command & Conquer Generals (2003);4.5;2;3.6
Witcher: Enhanced Edition (2007);4.0;3;3.6
Satisfactory (EA, 2019);4.0;3;3.6
Dishonored (2012);4.5;2;3.6
Tony Hawk's Pro Skater 2 (2000);4.5;2;3.6
Metal Gear Solid V (2015);4.5;2;3.6
Battlefield 4 (2013);4.5;2;3.6
Rise of the Tomb Raider (2016);4.5;2;3.6
Hitman: Blood Money (2006);4.5;2;3.6
Alan Wake (2010/2012);4.5;2;3.6
Dark Souls 2 (2014);4.5;2;3.6
Quantum Break (2016);4.5;2;3.6
Divinity: Original Sin 2 (2017);4.0;3;3.6
Cities Skylines (2015);3.6667;3;3.40002
Shadow of the Tomb Raider (2018);5.0;1;3.4
Command & Conquer Tiberian Sun (1999);5.0;1;3.4
Bioshock (2007);3.5;4;3.4
Watch Dogs (2014);3.5;4;3.4
